id,AUTM_names,std_name
20160314,Seattle Children?s Research Institute,Seattle Children's
95160,Memorial Sloan Kettering Cancer Center,Sloan Kettering
95160,Memorial Sloan-Kettering Cancer Center,Sloan Kettering
95160,Sloan Kettering Institute for Cancer Research,Sloan Kettering
95160,Sloan Kettering Institution for Cancer Research,Sloan Kettering
20100282,South Dakota State University,South Dakota State University
95161,Southern Illinois Univ.,Southern Illinois University
95161,Southern Illinois University,Southern Illinois University
98005,Southern Methodist University,Southern Methodist University
95163,SRI International,SRI International
95165,Stanford Univ.,Stanford University
95165,Stanford University,Stanford University
95166,Stevens Inst. of Technology,Stevens Inst
95166,Stevens Institute of Technology,Stevens Inst
95166,Stevens Institution of Technology,Stevens Inst
95168,Reseach Foundation of State University of New York,SUNY
95168,The Research Foundation for The State University of New York,SUNY
95168,The Research Foundation of SUNY,SUNY
95169,Syracuse University,Syracuse University
95170,Temple University,Temple University
20160310,Temple University,Temple University
20160310,Temple University System,Temple University
20000254,Tennessee Board of Regents,Tennessee Board of Regents
95171,Texas A&M,Texas A&M University
95171,Texas A&M Univ. System,Texas A&M University
95171,Texas A&M University System,Texas A&M University
95172,Texas Tech University,Texas Tech University
95172,Texas Tech University System,Texas Tech University
95173,Thomas Jefferson Univ,Thomas Jefferson University
95173,Thomas Jefferson University,Thomas Jefferson University
96027,Torrey Pines Institution for Molecular Studies,Torrey Pines Inst
95115,New England Medical Center,Tufts Medical Center
95115,Tufts Medical Center,Tufts Medical Center
95175,Tufts Univ.,Tufts University
95175,Tufts University,Tufts University
95176,Tulane Univ.,Tulane University
95176,Tulane University,Tulane University
95180,Univ. of Akron,University of Akron
95180,University of Akron,University of Akron
20070261,University of Alabama,University of Alabama
95182,The UAB Research Fdn.,University of Alabama Birmingham
95182,The UAB Research Foundation,University of Alabama Birmingham
95182,UAB Research Foundation,University of Alabama Birmingham
95182,University of AL/Birmingham,University of Alabama Birmingham
95182,University of Alabama Birmingham Research Foundation,University of Alabama Birmingham
95181,Univ. of Alabama in Huntsville,University of Alabama Huntsville
95181,University of AL in Huntsville,University of Alabama Huntsville
95181,University of Alabama in Huntsville,University of Alabama Huntsville
95183,University of Alaska,University of Alaska
20120292,University of Alaska Anchorage,University of Alaska Anchorage
20100285,University of Alaska,University of Alaska Fairbanks
20100285,University of Alaska Fairbanks,University of Alaska Fairbanks
95185,Univ. of Arizona,University of Arizona
95185,University of Arizona,University of Arizona
95186,Univ. of Arkansas Fayetteville,University of Arkansas Fayetteville
95186,University of Arkansas Fayetteville,University of Arkansas Fayetteville
97013,Univ. of Arkansas for Medical Sciences,University of Arkansas Medical
97013,University of Arkansas for Medical Sciences,University of Arkansas Medical
95188,Univ. of California System,University of California
95188,University of CA System,University of California
95188,University of California System,University of California
95189,Univ. of Central Florida,University of Central Florida
95189,University of Central FL,University of Central Florida
95189,University of Central Florida,University of Central Florida
95190,Univ. of Chicago/UCTech,University of Chicago
95190,University of Chicago,University of Chicago
95190,University of Chicago (UCTech),University of Chicago
95190,University of Chicago-ARCH Dev. Corp.,University of Chicago
95190,University of Chicago/UCTech,University of Chicago
95191,Univ. of Cincinnati,University of Cincinnati
95191,University of Cincinnati,University of Cincinnati
95192,Univ. of Colorado,University of Colorado
95192,Univ. of Colorado Boulder,University of Colorado
95192,University of CO,University of Colorado
95192,University of Colorado,University of Colorado
95192,University of Colorado System,University of Colorado
20160312,University of Colorado  Anschutz/Denver,University of Colorado Denver
95193,Univ. of Connecticut,University of Connecticut
95193,University of CN,University of Connecticut
95193,University of Connecticut,University of Connecticut
95194,University of Dayton,University of Dayton
95194,University of Dayton Research Institute,University of Dayton
95194,University of Dayton Research Institution,University of Dayton
95195,Univ. of Delaware,University of Delaware
95195,University of Delaware,University of Delaware
95196,Univ. of Denver,University of Denver
95196,University of Denver,University of Denver
95197,Univ. of Florida,University of Florida
95197,University of FL,University of Florida
95197,University of Florida,University of Florida
95198,Univ. of Georgia,University of Georgia
95198,University of Georgia,University of Georgia
95200,Univ. of Hawaii,University of Hawaii
95200,University of Hawaii,University of Hawaii
95201,Univ. of Houston,University of Houston
95201,University of Houston,University of Houston
95078,Idaho Research Foundation Inc.,University of Idaho
95078,University of Idaho,University of Idaho
95202,Univ. of Illinois Chicago Urbana,University of Illinois
95202,University of Illinois at Chicago,University of Illinois
95202,University of Illinois at Chicago Urbana & Champaign,University of Illinois
95202,University of Illinois Chicago Urbana,University of Illinois
95203,University of Illinois Urbana Champaign,University of Illinois Urbana
95204,Univ. of Iowa Research Fdn.,University of Iowa
95204,Univ. of Iowa Research Foundation,University of Iowa
95204,University of Iowa Research Fndtn,University of Iowa
95204,University of Iowa Research Foundation,University of Iowa
95205,Univ. of Kansas,University of Kansas
95205,University of Kansas,University of Kansas
95283,University of Kansas Medical Center,University of Kansas Medical
95206,Univ. of Kentucky Research Fdn.,University of Kentucky
95206,Univ. of Kentucky Research Foundation,University of Kentucky
95206,University of Kentucky Research Fndtn,University of Kentucky
95206,University of Kentucky Research Foundation,University of Kentucky
20140301,University of Louisiana at Lafayette,University of Louisiana Lafayette
95207,Univ. of Louisville,University of Louisville
95207,University of Louisville,University of Louisville
95207,University of Louisville Research Foundation,University of Louisville
95208,Univ of Maine,University of Maine
95208,University of Maine,University of Maine
95210,University of Maryland Baltimore,University of Maryland Baltimore
95211,University of Maryland Baltimore County,University of Maryland Baltimore County
96028,University of Maryland Biotechnology Institution,University of Maryland Biotech
95212,University of Maryland College Park,University of Maryland College Park
95213,Univ. of Massachusetts,University of Massachusetts
95213,University of Massachusetts,University of Massachusetts
95213,University of Massachusetts Medical Center,University of Massachusetts
95214,University of Massachusetts/Amherst,University of Massachusetts Amherst
20100274,University of Massachusetts Boston,University of Massachusetts Boston
20100276,University of Memphis,University of Memphis
95217,Univ. of Miami,University of Miami
95217,University of Miami,University of Miami
95218,Univ. of Michigan,University of Michigan
95218,University of Michigan,University of Michigan
95219,Univ. of Minnesota,University of Minnesota
95219,University of Minnesota,University of Minnesota
95220,Univ of Mississippi,University of Mississippi
95220,Univ. of Mississippi,University of Mississippi
95220,University of Mississippi,University of Mississippi
95221,The Curators of the University of Missouri,University of Missouri
